TITLE	14-3-3z_A-peptide_melt20-80deg
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	21/07/26
TIME	15:45:07
SPECTROMETER/DATA SYSTEM	
LOCALE	1030
XUNITS	Temperature[C]
YUNITS	CD [mdeg]
Y2UNITS	HT [V]
FIRSTX	   19,9900
LASTX	   80,0000
NPOINTS	     573
XYDATA
38,1400	-29,4606	346,405
38,2300	-29,1446	346,438
38,3800	-29,5505	346,466
38,4600	-29,4257	346,436
38,5700	-29,0416	346,464
38,6500	-29,2515	346,45
38,7300	-29,0312	346,473
38,8300	-29,5268	346,478
38,9200	-28,9656	346,508
39,0800	-29,3213	346,494
39,1400	-29,4562	346,518
39,2700	-29,4514	346,532
39,3800	-29,6534	346,506
39,4800	-29,0432	346,556
39,5400	-29,1693	346,513
39,6300	-29,5887	346,577
39,7000	-29,4899	346,591
39,8600	-29,1461	346,611
39,9700	-29,102	346,607
40,1000	-28,6277	346,606
40,2000	-29,4144	346,667
40,3100	-29,2046	346,65
40,4200	-29,6447	346,612
40,5000	-29,3486	346,673
40,6100	-29,1115	346,686
40,7600	-29,2789	346,626
40,8300	-29,5523	346,677
40,9300	-29,3324	346,737
41,0600	-29,179	346,711
41,1800	-29,3652	346,712
41,2800	-28,8545	346,735
41,3800	-29,0816	346,727
41,4300	-28,9345	346,735
41,5200	-29,3479	346,769
41,6400	-29,2034	346,727
41,7500	-29,6048	346,777
41,8400	-29,4469	346,775
41,9400	-29,0275	346,765
42,0100	-29,1464	346,762
42,1000	-29,1384	346,831
42,2700	-29,0207	346,859
42,3600	-29,2212	346,842
42,5000	-29,4492	346,853
42,5800	-29,0708	346,838
42,6600	-29,0279	346,883
42,7100	-29,546	346,837
42,8000	-29,4272	346,855
42,9600	-29,3452	346,883
43,0600	-29,4524	346,891
43,1400	-29,1464	346,913
43,2200	-29,1873	346,878
43,3800	-29,2475	346,883
43,4900	-29,3023	346,924
43,5700	-29,1494	346,972
43,6700	-28,7872	346,929
43,7700	-29,1802	346,898
43,8200	-28,9775	346,959
43,9800	-29,4009	346,956
44,0800	-29,0738	346,986
44,1900	-29,276	346,948
44,2700	-29,3425	346,995
44,3200	-28,6418	346,985
44,4900	-28,7814	346,98
44,6000	-29,4457	346,975
44,6900	-29,4144	346,99
44,7500	-29,1798	346,986
44,8200	-28,6639	347,014
44,9000	-28,5086	347,053
45,0000	-29,2005	347,026
45,1000	-29,0413	347,043
45,2000	-28,5718	347,02
45,3900	-29,1769	347,051
45,4500	-28,9028	347,027
45,5100	-28,6936	347,05
45,6000	-29,2217	347,103
45,7000	-28,8116	347,084
45,8800	-29,1989	347,085
45,9400	-29,5041	347,094
46,0200	-28,5554	347,085
46,1000	-29,0251	347,108
46,2600	-28,9584	347,112
46,3700	-29,0395	347,08
46,4500	-28,8878	347,132
46,5100	-28,3941	347,128
46,6000	-28,9546	347,167
46,7700	-28,7104	347,178
46,9100	-29,024	347,152
47,0000	-29,0019	347,174
47,1100	-29,219	347,177
47,2100	-28,6362	347,181
47,3900	-29,214	347,197
47,4900	-28,9185	347,202
47,5900	-28,9028	347,215
47,6800	-28,6228	347,2
47,7300	-28,9631	347,187
47,8100	-28,8175	347,196
47,9600	-28,7816	347,232
48,0300	-28,8053	347,258
48,1700	-28,9237	347,266
48,2800	-28,6689	347,275
48,3600	-28,8257	347,268
48,4300	-28,8504	347,254
48,5600	-28,5094	347,249
48,6100	-28,6039	347,278
48,7900	-28,5092	347,323
48,8300	-29,0242	347,302
48,9500	-28,869	347,303
49,1100	-28,8612	347,336
49,2000	-28,788	347,321
49,3300	-28,439	347,335
49,4300	-28,6612	347,33
49,5000	-28,6189	347,364
49,6800	-28,9079	347,386
49,8000	-28,4688	347,387
49,9100	-28,5158	347,377
50,0100	-28,7424	347,429
50,1700	-28,3898	347,467
50,2900	-28,9459	347,438
50,3700	-28,9423	347,465
50,4300	-28,7385	347,457
50,5100	-29,028	347,466
50,6900	-28,6828	347,473
50,8000	-28,6064	347,519
50,8900	-28,6914	347,52
50,9700	-28,632	347,571
51,0400	-29,0979	347,555
51,1100	-28,2782	347,525
51,2000	-28,4234	347,54
51,3200	-28,4674	347,574
51,4100	-27,9699	347,563
