Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV 1_280		Cond		Conc B		Injection		Run Log		Fraction		UV 1_280_CUT_TEMP@100,BASEM		UV 2_350	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU	ml	mAU
0.022686	0.910515	0.048154	88.419632	0.251932	0							0.025468	-2.944648	0.124558	-0.231378
0.023185	0.910348	0.049153	88.419724	0.256926	0							0.025967	-2.944386	0.127054	-0.232875
0.023685	0.910644	0.050151	88.42009	0.261921	0							0.026467	-2.944124	0.129551	-0.231052
0.024184	0.910941	0.05115	88.420715	0.266915	0							0.026966	-2.943862	0.132048	-0.227413
0.024683	0.911237	0.052149	88.421272	0.27191	0							0.027465	-2.9436	0.134545	-0.225784
0.025183	0.911533	0.053147	88.421783	0.276904	0							0.027965	-2.943338	0.137042	-0.222419
0.025682	0.911745	0.054146	88.422424	0.281898	0							0.028464	-2.943076	0.139539	-0.217552
0.026181	0.911682	0.055145	88.423378	0.286893	0							0.028964	-2.942813	0.142036	-0.211468
0.026681	0.911495	0.056144	88.424446	0.291887	0							0.029463	-2.942551	0.144532	-0.202353
0.02718	0.911312	0.057142	88.425415	0.296882	0							0.029962	-2.942289	0.147029	-0.188871
0.02768	0.911124	0.058141	88.425697	0.301876	0							0.030462	-2.942002	0.149526	-0.172223
0.028179	0.910916	0.05914	88.425293	0.30687	0							0.030961	-2.941715	0.152023	-0.153793
0.028678	0.910533	0.060139	88.424553	0.311865	0							0.03146	-2.941428	0.15452	-0.136056
0.029178	0.909646	0.061137	88.424004	0.316859	0							0.03196	-2.941141	0.157017	-0.118464
0.029677	0.908691	0.062136	88.424149	0.321854	0							0.032459	-2.940854	0.159513	-0.097216
0.030176	0.907738	0.063135	88.424339	0.326848	0							0.032958	-2.940567	0.16201	-0.076145
0.030676	0.906783	0.064134	88.422813	0.331842	0							0.033458	-2.94028	0.164507	-0.057116
0.031175	0.905823	0.065132	88.417831	0.336837	0							0.033957	-2.939992	0.167004	-0.040067
0.031675	0.90483	0.066131	88.407661	0.341831	0							0.034457	-2.939705	0.169501	-0.026017
0.032174	0.903932	0.06713	88.390511	0.346826	0							0.034956	-2.939418	0.171998	-0.017203
0.032673	0.903029	0.068129	88.365532	0.35182	0							0.035455	-2.939161	0.174495	-0.011423
0.033173	0.902129	0.069127	88.332428	0.356814	0							0.035955	-2.938903	0.176991	-0.011025
0.033672	0.901253	0.070126	88.293098	0.361809	0							0.036454	-2.938645	0.179488	-0.013107
0.034171	0.900633	0.071125	88.249565	0.366803	0							0.036953	-2.938388	0.181985	-0.017055
0.034671	0.900736	0.072124	88.203629	0.371798	0							0.037453	-2.93813	0.184482	-0.023399
0.03517	0.900838	0.073122	88.157936	0.376792	0							0.037952	-2.937873	0.186979	-0.030275
0.03567	0.900941	0.074121	88.113815	0.381786	0							0.038452	-2.937615	0.189476	-0.036683
